Name,Type,Associated APT,Signature
COOKIEBAG,Malware,APT01,"alert http $HOME_NET any -> $EXTERNAL_NET any (msg:""ET MALWARE Win32/COOKIEBAG Cookie APT1 Related""; flow:established,to_server; http.start; content:""|0a|Cookie|3a 20|CAQGBgoFD1Y""; fast_pattern; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016434; rev:6; metadata:created_at 2013_02_20, updated_at 2020_11_05;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE EMAIL SSL Cert APT1""; flow:established,to_client; tls.cert_serial; content:""2F:09:DD:E0:FF:81:B7:6C:BF:2F:17:92:0C:D8:BD:57""; tls.cert_subject; content:""CN=EMAIL""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016464; rev:4; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_18;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE LAME SSL Cert APT1""; flow:established,to_client; tls.cert_serial; content:""0E:97:88:1C:6C:A1:37:96:42:03:BC:45:42:24:75:6C""; tls.cert_subject; content:""CN=LM-68AB71FBD8F5""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016465; rev:4; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_21;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE NS SSL Cert APT1""; flow:established,to_client; tls.cert_serial; content:""72:A2:5C:8A:B4:18:71:4e:BF:C6:6F:3F:98:D6:F7:74""; tls.cert_subject; content:""CN=NS""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016466; rev:4; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_21;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE FAKE AOL SSL Cert APT1""; flow:established,to_client; tls.cert_serial; content:""7C:A2:74:D0:FB:C3:D1:54:B3:D1:A3:00:62:E3:7E:F6""; tls.cert_subject; content:""CN=mail.aol.com""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016469; rev:4; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_21;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE Fake Virtually SSL Cert APT1""; flow:established,to_client; tls.cert_issuer; content:""O=www.virtuallythere.com""; content:""OU=new""; content:""CN=new""; tls.cert_subject; content:""O=www.virtuallythere.com""; fast_pattern; content:""OU=new""; content:""CN=new""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016462; rev:4; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_21;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE FAKE YAHOO SSL Cert APT1""; flow:established,to_client; tls.cert_serial; content:""0A:38:C9:27:08:6F:96:4B:BE:75:DC:9F:C0:1A:C6:28""; tls.cert_subject; content:""CN=mail.yahoo.com""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016470; rev:4; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_21;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE SUR SSL Cert APT1""; flow:established,to_client; tls.cert_serial; content:""20:82:92:3F:43:2C:8F:75:B7:EF:0F:6A:D9:3C:8E:5D""; fast_pattern; tls.cert_subject; content:""CN=SUR""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016468; rev:5; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_22;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE SERVER SSL Cert APT1""; flow:established,to_client; tls.cert_serial; content:""52:55:38:16:FB:0D:1A:8A:4B:45:04:CB:06:BC:C4:AF""; tls.cert_subject; content:""CN=SERVER""; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016467; rev:4; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2022_03_24;)"
Malicious_Cert,Malware,APT01,"alert tls $EXTERNAL_NET any -> $HOME_NET any (msg:""ET MALWARE Fake IBM SSL Cert APT1""; flow:established,to_client; tls.cert_issuer; content:""O=Internet Widgits Pty Ltd""; content:""CN=IBM""; tls.cert_subject; content:""O=Internet Widgits Pty Ltd""; content:""CN=IBM""; fast_pattern; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016463; rev:5; metadata:attack_target Client_Endpoint, created_at 2013_02_22, deployment Perimeter, deprecation_reason Relevance, signature_severity Major, tag SSL_Malicious_Cert, updated_at 2024_01_03;)"
NAMSOTH.A,Malware,APT01,"alert http $HOME_NET any -> $EXTERNAL_NET any (msg:""ET MALWARE Win32/Namsoth.A Checkin/NEWSREELS APT1 Related""; flow:established,to_server; http.method; content:""POST""; http.request_body; content:""name=""; startswith; content:""&userid=""; distance:0; content:""&other""; distance:4; within:6; pcre:""/&userid=\d{4}&other=[MF]/""; reference:md5,a2cd1189860b9ba214421aab86ecbc8a; reference:url,www.mandiant.com/apt1; classtype:targeted-activity; sid:2016439; rev:5; metadata:created_at 2013_02_20, updated_at 2024_04_12;)"
SEASALT,Malware,APT01,"alert tcp $HOME_NET any -> $EXTERNAL_NET any (msg:""ET MALWARE SEASALT Client Checkin""; flow:established,to_server; dsize:7; content:""fxftest""; depth:7; reference:md5,5e0df5b28a349d46ac8cc7d9e5e61a96; reference:url,www.mandiant.com/apt1; classtype:command-and-control; sid:2016441; rev:2; metadata:created_at 2013_02_20, updated_at 2019_07_26;)"
